object_id,bike_route,street_nam,bikeway_ty,subtype,status,street_seg,overall_di,bikeway_di,vehicle_di,speed_limi,surface_ty,aaa_networ,aaa_segmen,w_n_bound_,e_s_bound_,snow_remov,segment_le,year_of_co,constructi,upgrade_ye,notes,OID_1,object_i_1,ID_DATAENT,ID_ROUTE,CHECK_FLAG,EXCL_FLAG,EXCL_REAS,ENTRY_ORDE,ADJ_ROUTE,FROM_STR,ORIG_ROUTE,ORIG_STREE,ROUTE_NAME,STRT_NAME,TO_STR,ATR_AAA_N0,ATR_AAA_S0,ATR_BIKEW0,ATR_ES_BO0,ATR_ORIG_0,ATR_OVERA0,ATR_SEGME0,ATR_SEGME1,ATR_SNOW_0,ATR_SPEED0,ATR_STATUS,ATR_SUBTY0,ATR_SURFA0,ATR_TYPE_0,ATR_TYPE_1,ATR_VEHIC0,ATR_WN_BOU,INST_COMM,INST_DT_M,INST_TMIN,INST_TYPE,INST_DATE,INST_YR,UPGR1_COMM,UPGR1_DT_M,UPGR1_TMIN,UPGR1_TYPE,UPGR1_DATE,UPGR1_YR,UPGR2_COMM,UPGR2_DT_M,UPGR2_TMIN,UPGR2_TYPE,UPGR2_DATE,UPGR2_YR,GEN_COMM,NOTES_ORIG,GEO_POINT,GEOJSON_G,GEOJSON_I,POST2019,MAPS_URL,geometry_crs,geometry
294746,SW Marine,SW Marine Drive,Painted Lanes,NB,Active,Residential,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,No,25.0577673104,1997,Date unsure,,,10,294746,652,VAN-R05,N,N,,90,Y,Install from Kullahun Dr,SW Marine,SW Marine Drive,SW Marine,SW Marine Drive,Install to Camosun St.,NO,NO,2W,Painted Lanes,Painted Lanes,EW,25.05776731,Residential,No,50,Active,NB,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,"pl both sides, installed prior to 2007, no upgrades since: https://www.google.com/maps/@49.2351588,-123.1978631,3a,75y,313.95h,84.1t/data=!3m7!1e1!3m5!1sjWOykhQW60Jz97fa5Dg0zQ!2e0!5s20070901T000000!7i3328!8i1664 .",STSAT,PL,PL,Pre-2007,1997,,,,,,0,,,,,,0,,,"49.23529729544737, -123.19824171273626","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.19808271755893, 49.23525415133726], [-123.19840070791359, 49.23534043955748]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.19808271755893, 49.23525415133726], [-123.19840070791359, 49.23534043955748]] }",0,https://www.google.com/maps/place/49.23529729544737 -123.19824171273626,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1981 49.23525, -123.1984 49.23534)"
294748,Midtown,W 39th Ave,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,103.652426548,1998,,,,11,294748,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1923 49.23646, -123.193 49.23646, -123.1937 49.23646)"
294758,Midtown,Kingsway,Shared Lanes,,Legacy,Sec Arterial,NS,2W,2W,50,Paved,NO,NO,Shared Lanes,Shared Lanes,No,4.2124891691,1998,Painted shared-2008,,Removed in 2020 (does not meet minimum standard of bike facility),12,294758,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0489 49.23762, -123.0488 49.2376)"
294759,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,154.135397447,2021,,,,13,294759,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0703 49.28309, -123.0682 49.28306)"
294763,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,141.226900019,2021,,,,14,294763,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0636 49.28302, -123.0617 49.28302)"
294767,Pandora,FRANKLIN ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,107.98914825599999,2021,,,,15,294767,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0741 49.28223, -123.0726 49.28222)"
294770,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,50.79531566,2021,,,,16,294770,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0572 49.28299, -123.0565 49.28298)"
294772,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,140.701431705,2021,,,,17,294772,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0617 49.28302, -123.0597 49.283)"
294773,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,142.581666623,2021,,,,18,294773,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0565 49.28298, -123.0546 49.28298)"
294774,Pandora,PANDORA ST,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,191.056615591,2021,,,,19,294774,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0546 49.28298, -123.052 49.28298)"
294778,Yukon,Yukon,Protected Bike Lanes,OSB,Active,Residential,NS,BD,2W,30,Paved,NO,NO,Protected Bike Lanes,Protected Bike Lanes,No,46.7411919695,2009,2021 added PBL,,,20,294778,776,VAN-R65,N,N,,686,N3,Yukon St,Yukon,Yukon,Yukon,W King Edward,Yukon St.,NO,NO,BD,Protected Bike Lanes,Protected Bike Lanes,NS,46.74119197,Residential,No,30,Active,OSB,Paved,Protected Bike Lanes,Protected Bike Lanes,2W,Protected Bike Lanes,"See painted lane up to 2020, then protected section installed: https://www.google.com/maps/@49.2489072,-123.1128251,3a,75y,288.39h,68.54t/data=!3m7!1e1!3m5!1sHXLHqmaP4IqJD7IGd_nLDg!2e0!5s20220101T000000!7i16384!8i8192 . Painted between April 2009 and Aug",ORIG,PL,PL,,2009,"likely completed October 2021, see in this video posted by a cyclist in late october, lane markers that are recently painted with temporary markers still visible, denoting recent completion: https://youtu.be/IaYCSIDKwF0?t=27",MISC,PBL,PBL-2,Fall 2021,2021,,,,,,0,,,"49.248940164482875, -123.11251337777182","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.1121923698447, 49.248934500674146], [-123.1128343856989, 49.248945828291596]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.1121923698447, 49.248934500674146], [-123.1128343856989, 49.248945828291596]] }",1,https://www.google.com/maps/place/49.248940164482875 -123.11251337777182,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1122 49.24893, -123.1128 49.24895)"
294781,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,46.881713147,2009,,,,21,294781,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1738 49.26802, -123.1738 49.26844)"
294784,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,49.6163245633,2009,,,,22,294784,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1738 49.27022, -123.1737 49.27067)"
294788,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,52.8016872869,2009,,,,23,294788,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.24851, -123.1757 49.24851, -123.1757 49.24803)"
294789,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,50.2657189304,2009,,,,24,294789,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.25102, -123.1757 49.25056, -123.1757 49.25056)"
294790,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,17.0730108923,2009,,,,25,294790,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.25117, -123.1757 49.25102)"
294792,Balaclava,Balaclava,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,52.6887036346,2009,,,,26,294792,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1757 49.24661, -123.1757 49.24613)"
294793,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,56.9513124168,2009,,,,27,294793,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1122 49.24842, -123.1122 49.24893)"
294795,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,24.4593649315,2009,,,,28,294795,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1123 49.24696, -123.1123 49.24718)"
294796,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,32.2325674173,2009,,,,29,294796,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1127 49.25173, -123.1127 49.25202, -123.1127 49.25202)"
294814,Ridgeway,Vine,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,50.7310319896,2013,,,,30,294814,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1597 49.24173, -123.1596 49.24219)"
294815,Ridgeway,Elm,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,96.2897585073,2013,,,,31,294815,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1643 49.24418, -123.1644 49.24426, -123.1644 49.24426, -123.1645 49.24437, -123.1645 49.24437, -123.1646 49.24444, -123.1647 49.24446, -123.1647 49.24446, -123.1647 49.24446, -123.1648 49.24455, -123.165 49.24462, -123.1653 49.24473)"
294817,Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Active,Off-street,NS,2W,Off Street,,Paved,YES,YES,Protected Bike Lanes,Protected Bike Lanes,Yes,323.165197988,2017,,,,32,294817,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1482 49.21601, -123.148 49.2156, -123.1478 49.21519, -123.1476 49.21477, -123.1474 49.21436, -123.1472 49.21394, -123.147 49.21353, -123.1468 49.21325)"
294818,Arbutus Greenway,Off Street,Protected Bike Lanes,OSB,Active,Off-street,NS,2W,Off Street,,Paved,YES,YES,Protected Bike Lanes,Protected Bike Lanes,Yes,229.614400307,2017,,,,33,294818,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1493 49.21794, -123.1492 49.21771, -123.149 49.21737, -123.1487 49.21682, -123.1484 49.21642, -123.1483 49.21623, -123.1482 49.21601, -123.1482 49.21601)"
294821,45th Ave,E 45th Ave,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,70.1682366331,2013,,,,34,294821,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0985 49.22931, -123.0995 49.22933)"
294825,45th Ave,W 45th Ave,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,98.8268630942,2011,,,,35,294825,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1193 49.22992, -123.1193 49.22992, -123.1207 49.22997)"
294826,Killarney,E 46th Ave,Local Street,,Active,Residential,EW,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,111.853358957,2013,no sign to turn south wb 45th av.,,,36,294826,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0501 49.22845, -123.0517 49.22846)"
294829,Central Valley,Grandview Hwy North,Local Street,,Active,Sec Arterial,EW,2W,2W,50,Paved,NO,YES,Local Street,Local Street,Yes,10.6232405287,2003,Upgrade to AAA 2014,2014,,37,294829,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0582 49.25911, -123.0581 49.25906)"
294832,Central Valley,Grandview Hwy North,Local Street,,Active,Sec Arterial,EW,2W,2W,50,Paved,NO,YES,Local Street,Local Street,Yes,85.0270587784,2003,Upgrade to AAA 2014,2014,,38,294832,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0631 49.26105, -123.0621 49.26065, -123.0621 49.26065)"
294835,Sunrise,Slocan,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,51.8106087123,1998,year const- unknown source,,,39,294835,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0494 49.27276, -123.0494 49.27229, -123.0494 49.27229)"
294836,Sunrise,Slocan,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,46.1182356987,1998,year const- unknown source,,,40,294836,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0494 49.27621, -123.0494 49.27621, -123.0494 49.2758)"
294847,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,58.299966607,2009,,,,41,294847,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1128 49.25006, -123.1128 49.25006, -123.1128 49.25059)"
294851,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,NO,Local Street,Local Street,No,18.6365898235,2009,,,,42,294851,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1127 49.2529, -123.1127 49.25307)"
294852,Yukon,Wylie,Local Street,,Active,Residential,NS,2W,2W,50,Paved,NO,NO,Local Street,Local Street,Yes,50.2372444262,2011,,,,43,294852,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1139 49.26827, -123.1135 49.26791)"
294855,Yukon,Yukon,Local Street,,Active,Residential,NS,2W,2W,30,Paved,NO,YES,Local Street,Local Street,No,79.9273778127,2009,Upgrade to AAA 2018,2018,,44,294855,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.113 49.25942, -123.1131 49.2587)"
294859,Cypress,SW Marine Drive,Shared Lanes,,Active,Sec Arterial,NS,2W,2W,30,Paved,NO,NO,Shared Lanes,Shared Lanes,No,33.8257257134,1996,year const- Peter Stary,,,45,294859,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1409 49.20516, -123.1413 49.2053, -123.1413 49.2053)"
294862,SW Marine,SW Marine Drive,Painted Lanes,PBT,Active,Arterial,EW,2W,2W,50,Paved,NO,NO,Painted Lanes,Painted Lanes,Yes,317.816468456,1997,upgrade to wide paint,2017,,46,294862,72,VAN-R05,N,N,,73,Y,,SW Marine,SW Marine Drive,SW Marine,SW Marine Drive,,NO,NO,2W,Painted Lanes,Painted Lanes,EW,317.8164685,Arterial,Yes,50,Active,PBT,Paved,Painted Lanes,Painted Lanes,2W,Painted Lanes,"PL both sides: https://www.google.com/maps/@49.2297152,-123.1775963,3a,75y,122.26h,79.6t/data=!3m7!1e1!3m5!1s_j8aUGBprKwe9BARHSCpXA!2e0!5s20120701T000000!7i13312!8i6656 .",STSAT,PL,PL,Pre-2009,1997,"PBBL both sides, no upgrades since: https://www.google.com/maps/@49.2297493,-123.1775871,3a,75y,122.26h,79.6t/data=!3m7!1e1!3m5!1sUDrSQoA7zaa36DTieKsS9A!2e0!5s20181001T000000!7i16384!8i8192 , throughout install (point 2): https://www.google.com/maps/@49.",,BUF,PBBL,17-Oct,2017,,,,,,0,,https://wiki.bikehub.ca/images/f/fa/2017-10-24_CoV_Response_to_In_Service_Road_Safety_Review_SW_Marine_Improvements.pdf,"49.21060270583409, -123.14983668328503","{""type"": ""Feature"", ""geometry"": {""type"": ""LineString"", ""coordinates"": [[-123.14863465130436, 49.20940978579292], [-123.15103871526568, 49.211795625875254]]}},","{ ""type"": ""LineString"", ""coordinates"": [[-123.14863465130436, 49.20940978579292], [-123.15103871526568, 49.211795625875254]] }",0,https://www.google.com/maps/place/49.21060270583409 -123.14983668328503,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.1486 49.20941, -123.151 49.2118)"
294864,Windsor,Off Street,Protected Bike Lanes,OSS,Active,Off-street,EW,2W,Off Street,,Paved,NO,YES,Protected Bike Lanes,Protected Bike Lanes,No,155.861686348,2003,,,,47,294864,0,,,,,0,,,,,,,,,,,,,,0,,,0,,,,,,,,,,,,,0,,,,,,0,,,,,,0,,,,,,0,,+proj=longlat +datum=WGS84 +no_defs,"LINESTRING (-123.0848 49.23095, -123.0826 49.23089, -123.0826 49.23089)"
